text,emotion
"Studying physics mechanics today feels like a chore, I'm just going through the motions.",Bored
"I wonder how database design actually works behind the scenes, it's fascinating.",Curious
"I'm so tired of studying organic chemistry, it feels repetitive and dull.",Bored
What happens if we change the approach to Python loops? I want to experiment.,Curious
I feel strong and capable when it comes to data structures now.,Confident
The explanation for binary trees in the textbook is confusing me even more.,Confused
This music theory lecture is dragging on and I can't focus at all.,Bored
"I just aced a quiz on English essays, I really know this material well.",Confident
"I can't follow the logic behind pointers in C, it just doesn't click.",Confused
"I've lost interest in gradient descent, it's the same thing over and over.",Bored
"After practicing, French grammar makes total sense to me and I can explain it to others.",Confident
"I nailed the practice problems on music theory, feeling great about this.",Confident
"I just aced a quiz on API integration, I really know this material well.",Confident
"I can't follow the logic behind data structures, it just doesn't click.",Confused
I'm really intrigued by my research project and want to dig into the details.,Curious
I keep zoning out whenever we talk about French grammar in class.,Bored
"Studying statistics today feels like a chore, I'm just going through the motions.",Bored
"I'm so stressed out about the lab report, I feel like giving up.",Frustrated
"I just aced a quiz on organic chemistry, I really know this material well.",Confident
I feel strong and capable when it comes to probability theory now.,Confident
I've read the same recursion chapter five times and none of it feels interesting anymore.,Bored
I'm curious what other techniques exist beyond my research project.,Curious
I'm curious what other techniques exist beyond binary trees.,Curious
What happens if we change the approach to calculus derivatives? I want to experiment.,Curious
I'm mixing up all the concepts in cell biology and it's overwhelming.,Confused
"After practicing, economics graphs makes total sense to me and I can explain it to others.",Confident
"I'm completely lost on music theory, none of the steps make sense to me.",Confused
"Nothing about SQL joins excites me right now, I just want to close the book.",Bored
What happens if we change the approach to linear algebra? I want to experiment.,Curious
I have no idea what's happening in this SQL joins problem.,Confused
"I'm so stressed out about binary trees, I feel like giving up.",Frustrated
"I wonder how statistics actually works behind the scenes, it's fascinating.",Curious
I finally understand machine learning models completely and I'm ready for the exam.,Confident
"I've tried solving this data structures problem for hours and nothing works, I'm so frustrated.",Frustrated
"I'd love to explore probability theory more deeply, there's so much to learn.",Curious
"I'd love to explore web development more deeply, there's so much to learn.",Curious
"I wonder how data structures actually works behind the scenes, it's fascinating.",Curious
"I nailed the practice problems on calculus derivatives, feeling great about this.",Confident
"I've tried solving this object-oriented programming problem for hours and nothing works, I'm so frustrated.",Frustrated
"I don't understand how API integration works, can someone explain it differently?",Confused
"Studying thermodynamics today feels like a chore, I'm just going through the motions.",Bored
What happens if we change the approach to organic chemistry? I want to experiment.,Curious
Every time I try algorithms I end up more confused than before.,Confused
"I'm so stressed out about web development, I feel like giving up.",Frustrated
I'm mixing up all the concepts in thermodynamics and it's overwhelming.,Confused
"I've lost interest in neural networks, it's the same thing over and over.",Bored
"I've lost interest in binary trees, it's the same thing over and over.",Bored
"I'd love to explore SQL joins more deeply, there's so much to learn.",Curious
"Studying data structures today feels like a chore, I'm just going through the motions.",Bored
Can you tell me more about why economics graphs behaves this way?,Curious
I keep zoning out whenever we talk about this coding assignment in class.,Bored
"I just aced a quiz on linear algebra, I really know this material well.",Confident
I'm exhausted and irritated trying to debug this English essays issue.,Frustrated
Every time I try this coding assignment I end up more confused than before.,Confused
Can you tell me more about why data structures behaves this way?,Curious
I've read the same data structures chapter five times and none of it feels interesting anymore.,Bored
"I'm getting really annoyed with English essays, every attempt fails.",Frustrated
"Nothing about web development excites me right now, I just want to close the book.",Bored
